industry_code,is_loan_eligible,employee_limit,has_special_condition,max_revenue
47130,1,5,0,5000000000
47190,1,5,0,5000000000
47211,1,5,0,5000000000
47212,1,5,0,5000000000
47213,1,5,0,5000000000
47214,1,5,0,5000000000
47215,1,5,0,5000000000
47219,1,5,0,5000000000
47221,1,5,0,5000000000
47222,1,5,0,5000000000
47223,1,5,0,5000000000
47229,1,5,0,5000000000
47231,1,5,0,5000000000
47232,1,5,0,5000000000
47311,1,5,0,5000000000
47312,1,5,0,5000000000
47320,1,5,0,5000000000
47411,1,5,0,5000000000
47412,1,5,0,5000000000
47413,1,5,0,5000000000
47414,1,5,0,5000000000
47415,1,5,0,5000000000
47416,1,5,0,5000000000
47417,1,5,0,5000000000
47419,1,5,0,5000000000
47421,1,5,0,5000000000
47422,1,5,0,5000000000
47429,1,5,0,5000000000
47430,1,5,0,5000000000
47440,1,5,0,5000000000
47511,1,5,0,5000000000
47512,1,5,0,5000000000
47513,1,5,0,5000000000
47519,1,5,0,5000000000
47520,1,5,0,5000000000
47591,1,5,0,5000000000
47592,1,5,0,5000000000
47593,1,5,0,5000000000
47599,1,5,0,5000000000
47611,1,5,0,5000000000
47612,1,5,0,5000000000
47620,1,5,0,5000000000
47631,1,5,0,5000000000
47632,1,5,0,5000000000
47640,0,5,0,5000000000
47711,1,5,0,5000000000
47712,1,5,0,5000000000
47713,1,5,0,5000000000
47721,1,5,0,5000000000
47722,1,5,0,5000000000
47723,1,5,0,5000000000
47811,0,5,0,5000000000
47812,1,5,0,5000000000
47813,1,5,0,5000000000
